review_text,rating,sentiment
This laptop is smooth. Works perfectly out of the box.,4,positive
This smartwatch is responsive.,4,positive
Bought this running shoes a few weeks ago. It's fine for the price but i wouldn't rave about it.,3,neutral
This air fryer is sleek.,3,positive
Bought this headphones a few weeks ago. It arrived damaged. Rating: 3/5.,3,negative
"This laptop is okay. Some features are useful, others aren't.",3,neutral
This vacuum cleaner is broken. Customer support never responded. Overall it's not bad.,1,negative
This yoga mat is smooth.,3,positive
"This wireless mouse is standard. It's fine for the price but i wouldn't rave about it. Also, customer support never responded. Rating: 4/5.",4,neutral
This office chair is awful. I had to return it after two days.,3,negative
This phone case is superb. Works perfectly out of the box. Overall it's not great.,5,positive
"This coffee maker is outstanding. Also, the size runs way smaller than expected. Rating: 3/5.",3,positive
This blender is nothing special.,3,neutral
This wireless mouse is fine.,4,neutral
Bought this vacuum cleaner a few weeks ago.,4,positive
"This blender is great. Setup took less than five minutes. However, I had to return it after two days.",4,positive
This phone case is faulty. Stopped working within a week. Overall it's didn't disappoint.,1,negative
"This backpack is sleek. I would definately buy this again. That said, it's fine for the price but I wouldn't rave about it.",5,positive
Bought this running shoes a few weeks ago. Works perfectly out of the box.,4,positive
This blender is fast.,3,positive
This bluetooth speaker is unreliable. Rating: 2/5.,2,negative
This bluetooth speaker is fine.,4,neutral
"Bought this blender a few weeks ago. The instructions were confusing. That said, the build quality is great.",3,negative
This vacuum cleaner is top notch. Battery life is impressive.,5,positive
"Bought this wireless mouse a few weeks ago. The size runs way smaller than expected. That said, it's fine for teh price but I wouldn't rave about it.",1,negative
"This office chair is acceptable. Packaging was fine. Also, the size runs way smaller than expected. Overall it's not as good as I hoped.",3,neutral
"This laptop is worth every penny. It feels premium for the price. Also, it's fine for the price but I wouldn't rave about it. Overall it's not great.",3,positive
"This phone case is not worth it. It arrived damaged. On the plus side, exceeded my expectations. Overall it's not as good as I hoped.",1,negative
This bluetooth speaker is responsive.,5,positive
This phone case is so-so. It's fine for the price but i wouldn't rave about it. Rating: 3/5.,3,neutral
Bought this air fryer a few weeks ago. Battery life is impressive.,5,positive
Bought this smartwatch a few weeks ago. Delivery took about a week.,3,neutral
Bought this coffee maker a few weeks ago. Rating: 3/5.,3,positive
This wireless mouse is disappointing.,1,negative
This phone case is reasonable. Packaging was fine.,3,neutral
This backpack is disappointing. The size runs way smaller than expected.,3,negative
This headphones is overpriced. It's louder than advertised.,1,negative
This backpack is top notch.,4,positive
Bought this air fryer a few weeks ago. Customer service was very helpful. Rating: 5/5.,5,positive
This phone case is broken.,3,negative
This backpack is solid. Battery life is impressive.,5,positive
This office chair is sleek. Setup took less than five minutes. Rating: 3/5.,3,positive
This smartwatch is top notch.,5,positive
This blender is well made.,4,positive
This office chair is acceptable.,3,neutral
This laptop is decent. Delivery took about a week.,3,neutral
"This desk lamp is fast. Works perfectly out of the box. Also, the size runs way smaller than expected. Overall it's didn't disappoint.",3,positive
Bought this blender a few weeks ago. Shipping was fast and packaging was solid.,5,positive
Bought this vacuum cleaner a few weeks ago. I regret this purchase. Overall it's wouldn't recommend.,2,negative
"Bought this air fryer a few weeks ago. Packaging was fine. That said, it arrived damaged. Overall it's wouldn't recommend.",4,negative
This coffee maker is subpar.,1,negative
This headphones is excellent. Rating: 4/5.,4,positive
This yoga mat is great. Battery life is impressive.,5,positive
This headphones is top notch.,3,positive
This bluetooth speaker is worth every penny. Setup took less than five minutes.,5,negative
Bought this laptop a few weeks ago. Customer support never responded.,1,negative
